antecedencia,trecho_unico,data,media_preco_atual,media_preco_referencia,mediana_preco_atual,mediana_preco_referencia
1,rio-de-janeiro-rj-vitoria-es,2026-03-23,134.71,165.55,129.9,159.9
2,rio-de-janeiro-rj-vitoria-es,2026-03-24,131.1,154.27,129.9,147.4
3,rio-de-janeiro-rj-vitoria-es,2026-03-25,133.61,144.52,129.9,145.9
4,rio-de-janeiro-rj-vitoria-es,2026-03-26,131.53,132.19,129.9,139.91
5,rio-de-janeiro-rj-vitoria-es,2026-03-27,134.73,147.41,129.95,145.91
6,rio-de-janeiro-rj-vitoria-es,2026-03-28,128.83,149.16,129.9,145.9
7,rio-de-janeiro-rj-vitoria-es,2026-03-29,132.22,144.37,129.9,144.65
1,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-23,47.28,47.24,47.8,47.75
2,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-24,46.07,52.1,44.25,50.25
3,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-25,47.1,48.29,47.8,50.25
4,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-26,50.6,47.12,50.3,47.75
5,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-27,50.5,47.17,50.3,47.75
6,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-28,47.86,46.79,47.8,47.25
7,sao-jose-dos-campos-sp-sao-paulo-sp,2026-03-29,51.67,47.07,50.3,47.75
1,sao-paulo-sp-vitoria-es,2026-03-23,266.83,283.43,269.91,239.9
2,sao-paulo-sp-vitoria-es,2026-03-24,247.51,235.59,253.56,236.7
3,sao-paulo-sp-vitoria-es,2026-03-25,232.23,236.27,250.87,236.7
4,sao-paulo-sp-vitoria-es,2026-03-26,247.99,237.83,248.14,233.51
5,sao-paulo-sp-vitoria-es,2026-03-27,255.25,245.45,250.45,233.51
6,sao-paulo-sp-vitoria-es,2026-03-28,257.22,232.82,250.87,232.05
7,sao-paulo-sp-vitoria-es,2026-03-29,245.18,247.95,247.97,236.7
